STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES,WV03,WV03_ATTRIBUTES
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/1/1983,0,"T,,0,2400",0,"T,,0,",0,"T,,0,",,,38,",,0",27,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/2/1983,0.03,",,0,2400",0.3,",,0,",0,",,0,",,,38,",,0",24,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/3/1983,0.05,",,0,2400",0.5,",,0,",1,",,0,",,,37,",,0",21,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/4/1983,0.54,",,0,2400",5.4,",,0,",0,"T,,0,",,,31,",,0",21,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/5/1983,0,"T,,0,2400",0,"T,,0,",4,",,0,",,,37,",,0",30,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/6/1983,0.84,",,0,2400",0,",,0,",2,",,0,",,,43,",,0",36,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/7/1983,0.04,",,0,2400",0.6,",,0,",0,"T,,0,",,,44,",,0",27,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/8/1983,0,"T,,0,2400",0.2,",,0,",1,",,0,",,,30,",,0",14,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/9/1983,0,"T,,0,2400",0,"T,,0,",0,"T,,0,",,,39,",,0",18,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/10/1983,0,",,0,2400",0,",,0,",0,",,0,",,,44,",,0",30,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
