STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT18
USC00305113,"EMMONS, NY US",11/1/1983,,,,,,55,21,,,,,,,
USC00305113,"EMMONS, NY US",11/2/1983,,,,,,60,23,,,,,,,
USC00305113,"EMMONS, NY US",11/3/1983,,,0.01,,,61,37,,,,,,,
USC00305113,"EMMONS, NY US",11/4/1983,,,0.11,0,0,53,31,,,,1,,,
USC00305113,"EMMONS, NY US",11/5/1983,,,0,0,,35,26,,,,1,,,
USC00305113,"EMMONS, NY US",11/6/1983,,,0.03,0,,41,28,,1,,1,,,
USC00305113,"EMMONS, NY US",11/7/1983,,,0,,,42,35,,1,,,,,
USC00305113,"EMMONS, NY US",11/8/1983,,,,,,48,28,,1,,,,,
USC00305113,"EMMONS, NY US",11/9/1983,,,,,,58,28,,,,,,,
USC00305113,"EMMONS, NY US",11/10/1983,,,,,,65,29,,1,,,,,
USC00305113,"EMMONS, NY US",11/11/1983,,,0.29,,,55,30,,1,,,,,
USC00305113,"EMMONS, NY US",11/12/1983,,,0.17,0,0,50,29,,,,1,,,
USC00305113,"EMMONS, NY US",11/13/1983,,,0.01,0,0,30,14,,,,1,,,
USC00305113,"EMMONS, NY US",11/14/1983,,,,,,37,15,,,,,,,
USC00305113,"EMMONS, NY US",11/15/1983,,,,,,44,17,,,,,,,
USC00305113,"EMMONS, NY US",11/16/1983,,,0.31,0,,40,31,,,,,,,
USC00305113,"EMMONS, NY US",11/17/1983,,,0.08,0,0,44,32,,,,,,,
USC00305113,"EMMONS, NY US",11/18/1983,,,0.12,1,1,33,30,,,,,,,
USC00305113,"EMMONS, NY US",11/19/1983,,,,,0,40,27,,,,,,,
USC00305113,"EMMONS, NY US",11/20/1983,,,,,,51,32,,,,,,,
USC00305113,"EMMONS, NY US",11/21/1983,,,0.48,,,63,36,,,,,,,
USC00305113,"EMMONS, NY US",11/22/1983,,,,,,51,40,,,,,,,
USC00305113,"EMMONS, NY US",11/23/1983,,,,,,59,29,,1,,,,,
USC00305113,"EMMONS, NY US",11/24/1983,,,0.04,,,50,31,,,,,,,
USC00305113,"EMMONS, NY US",11/25/1983,,,1.19,2,2,50,32,,,,,,,
USC00305113,"EMMONS, NY US",11/26/1983,,,0.26,3,5,33,27,,,,,,,
USC00305113,"EMMONS, NY US",11/27/1983,,,,,2,37,31,,,,,,,
USC00305113,"EMMONS, NY US",11/28/1983,,,0.02,0,1,37,26,,,,1,,,
USC00305113,"EMMONS, NY US",11/29/1983,,,0.43,0,0,40,30,,,,1,,,
USC00305113,"EMMONS, NY US",11/30/1983,,,0,0,0,41,32,,,,,,,
USC00305113,"EMMONS, NY US",12/1/1983,,,0.01,0,0,38,25,,,,,,,
USC00305113,"EMMONS, NY US",12/2/1983,,,0,0,,34,27,,,,,,,
USC00305113,"EMMONS, NY US",12/3/1983,,,0.06,1,1,34,25,,,,,,,
USC00305113,"EMMONS, NY US",12/4/1983,,,0,0,0,33,19,,,,1,,,
USC00305113,"EMMONS, NY US",12/5/1983,,,0.56,2,2,33,27,,,,,,,
USC00305113,"EMMONS, NY US",12/6/1983,,,,,2,38,32,,,,,,,
USC00305113,"EMMONS, NY US",12/7/1983,,,0.51,1,1,40,27,,,,,,,
USC00305113,"EMMONS, NY US",12/8/1983,,,0.01,0,1,30,19,,,,,,,
USC00305113,"EMMONS, NY US",12/9/1983,,,,,0,31,18,,,,,,,
USC00305113,"EMMONS, NY US",12/10/1983,,,0.03,1,1,35,29,,,,,,,
USC00305113,"EMMONS, NY US",12/11/1983,,,,,0,31,22,,,,,,,
USC00305113,"EMMONS, NY US",12/12/1983,,,,,0,33,23,,,,,,,
USC00305113,"EMMONS, NY US",12/13/1983,,,1.11,,,41,30,,,,,,,
USC00305113,"EMMONS, NY US",12/14/1983,,,1.37,,,40,37,,,,,,,
USC00305113,"EMMONS, NY US",12/15/1983,,,0,,,48,39,,,,,,,
USC00305113,"EMMONS, NY US",12/16/1983,,,,,,45,32,,,,,,,
USC00305113,"EMMONS, NY US",12/17/1983,,,0,0,,39,27,,,,,,,
USC00305113,"EMMONS, NY US",12/18/1983,,,0,0,,29,19,,,,,,,
USC00305113,"EMMONS, NY US",12/19/1983,,,0.06,1,1,26,13,,,,,,,
USC00305113,"EMMONS, NY US",12/20/1983,,,,,1,18,-3,,,,,,,
