STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,DASF,DASF_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT14,WT14_ATTRIBUTES
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/1/1983,,,,,,,,,0,"T,,0,0800",0,"T,,0",,,36,",,0",26,",,0",26,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/2/1983,,,,,,,,,0.01,",,0,0800",0,"T,,0",,,33,",,0",25,",,0",25,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/3/1983,,,,,,,,,0.11,",,0,0800",1,",,0",,,29,",,0",24,",,0",28,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/4/1983,,,,,,,,,0.05,",,0,0800",0,"P,,0",,,34,",,0",16,",,0",29,",I,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/5/1983,,,,,,,,,0.55,",,0,0800",0,"P,,0",,,29,",I,0",33,",I,0",33,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/6/1983,,,,,,,,,0.08,",,0,0800",0,"P,,0",,,36,",,0",33,",,0",36,",,0,0800",1,",,0",,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/7/1983,,,,,,,,,1.26,",,0,0800",0,"P,,0",,,43,",,0",29,",,0",29,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/8/1983,,,,,,,,,0.04,",,0,0800",1,",,0",,,31,",,0",16,",,0",19,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/9/1983,,,,,,,,,0,"T,,0,0800",0,"T,,0",,,29,",,0",17,",,0",21,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/10/1983,,,,,,,,,0.04,",,0,0800",1,",,0",,,33,",,0",20,",,0",33,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/11/1983,,,,,,,,,0,"P,,0,0800",0,"P,,0",,,36,",,0",22,",,0",22,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/12/1983,,,,,,,,,0.01,",,0,0800",1,",,0",,,31,",,0",23,",,0",27,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/13/1983,,,,,,,,,1.85,",,0,0800",0,"P,,0",,,43,",,0",28,",,0",42,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/14/1983,,,,,,,,,1.45,",,0,0800",0,"P,,0",,,42,",,0",34,",,0",34,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/15/1983,,,,,,,,,0.02,",,0,0800",0,"P,,0",,,47,",,0",34,",,0",40,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/16/1983,,,,,,,,,0,"P,,0,0800",0,"P,,0",,,46,",,0",29,",,0",34,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/17/1983,,,,,,,,,0,"P,,0,0800",0,"P,,0",,,33,",,0",20,",,0",24,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/18/1983,,,,,,,,,0,"P,,0,0800",0,"P,,0",,,43,",,0",12,",,0",14,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/19/1983,,,,,,,,,0,"T,,0,0800",0,"T,,0",,,23,",,0",12,",,0",14,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/20/1983,,,,,,,,,0,"P,,0,0800",0,"P,,0",,,18,",,0",2,",,0",3,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/21/1983,,,,,,,,,0,"P,,0,0800",0,"P,,0",,,12,",,0",-2,",,0",-1,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/22/1983,,,,,,,,,0.44,",,0,0800",,,5,",,0",23,",,0",-4,",,0",23,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/23/1983,,,,,,,,,0.23,",,0,0800",,,5,",,0",39,",,0",8,",,0",11,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/24/1983,,,,,,,,,0.08,",,0,0800",1.5,",,0",5,",,0",18,",,0",7,",,0",9,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/25/1983,,,,,,,,,0.09,",,0,0800",,,5,",,0",10,",,0",-6,",,0",-5,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/26/1983,,,,,,,,,0,"P,,0,0800",0,",,0",5,",,0",2,",,0",-7,",,0",-5,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/27/1983,,,,,,,,,0,"P,,0,0800",0,",,0",5,",,0",9,",,0",-7,",,0",7,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/28/1983,,,,,,,,,0,"P,,0,0800",0,",,0",5,",,0",20,",,0",3,",,0",17,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/29/1983,,,,,,,,,0.88,",,0,0800",,,5,",,0",35,",,0",15,",,0",25,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/30/1983,,,,,,,,,0,"P,,0,0800",0,",,0",5,",,0",25,",,0",-3,",,0",-2,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,12/31/1983,,,,,,,,,0,"P,,0,0800",0,",,0",5,",,0",16,",,0",-4,",,0",8,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/1/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",5,",,0",34,",,0",8,",,0",18,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/2/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",4,",,0",26,",,0",16,",,0",21,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/3/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",4,",,0",26,",,0",19,",,0",24,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/4/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",4,",,0",30,",,0",24,",,0",29,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/5/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",4,",,0",38,",,0",29,",,0",31,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/6/1984,,,,,,,,,0.01,",,0,0800",0.5,",,0",4,",,0",35,",,0",30,",,0",32,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/7/1984,,,,,,,,,0,"T,,0,0800",0,"T,,0",4,",,0",32,",,0",22,",,0",22,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/8/1984,,,,,,,,,0,"T,,0,0800",0,"T,,0",4,",,0",28,",,0",2,",,0",4,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/9/1984,,,,,,,,,0.02,",,0,0800",2,",,0",6,",,0",22,",,0",2,",,0",17,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/10/1984,,,,,,,,,0.12,",,0,0800",1,",,0",7,",,0",30,",,0",17,",,0",30,",,0,0800",,,,,1,",,0",,,1,",,0",,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/11/1984,,,,,,,,,0.25,",,0,0800",5,",,0",10,",,0",32,",,0",8,",,0",10,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/12/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",10,",,0",12,",,0",-8,",,0",-4,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/13/1984,,,,,,,,,0,"T,,0,0800",0,"T,,0",10,",,0",23,",,0",-9,",,0",8,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/14/1984,,,,,,,,,0.06,",,0,0800",1,",,0",10,",,0",21,",,0",8,",,0",21,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/15/1984,,,,,,,,,0.01,",,0,0800",0,"T,,0",10,",,0",30,",,0",11,",,0",11,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/16/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",10,",,0",15,",,0",-18,",,0",-7,",,0,0800",,,,,,,,,,,,,,
